ID;DSC;TIPO;CONTX;PORC;ED;NIVEL;PISO;DEPTO
E01.L;Losa Fundacion;LOSA;;0;E01;;;
E01.N;Relleno Estructural;NIVEL;;0;E01;;;
E01.P;Pisos;PISO;;0;E01;;;
E02.L;Losa Fundacion;LOSA;;0;E02;;;
E02.N;Relleno Estructural;NIVEL;;0;E02;;;
E02.P;Pisos;PISO;;0;E02;;;
E03.L;Losa Fundacion;LOSA;;0;E03;;;
E03.N;Relleno Estructural;NIVEL;;0;E03;;;
E03.P;Pisos;PISO;;0;E03;;;
E04.L;Losa Fundacion;LOSA;;0;E04;;;
E04.N;Relleno Estructural;NIVEL;;0;E04;;;
E04.P;Pisos;PISO;;0;E04;;;
E05.L;Losa Fundacion;LOSA;;0;E05;;;
E05.N;Relleno Estructural;NIVEL;;0;E05;;;
E05.P;Pisos;PISO;;0;E05;;;
E06.L;Losa Fundacion;LOSA;;0;E06;;;
E06.N;Relleno Estructural;NIVEL;;0;E06;;;
E06.P;Pisos;PISO;;0;E06;;;
E07.L;Losa Fundacion;LOSA;;0;E07;;;
E07.N;Relleno Estructural;NIVEL;;0;E07;;;
E07.P;Pisos;PISO;;0;E07;;;
E08.L;Losa Fundacion;LOSA;;0;E08;;;
E08.N;Relleno Estructural;NIVEL;;0;E08;;;
E08.P;Pisos;PISO;;0;E08;;;
E09.L;Losa Fundacion;LOSA;;0;E09;;;
E09.N;Relleno Estructural;NIVEL;;0;E09;;;
E09.P;Pisos;PISO;;0;E09;;;
E10.L;Losa Fundacion;LOSA;;0;E10;;;
E10.N;Relleno Estructural;NIVEL;;0;E10;;;
E10.P;Pisos;PISO;;0;E10;;;
E11.L;Losa Fundacion;LOSA;;0;E11;;;
E11.N;Relleno Estructural;NIVEL;;0;E11;;;
E11.P;Pisos;PISO;;0;E11;;;
E12.L;Losa Fundacion;LOSA;;0;E12;;;
E12.N;Relleno Estructural;NIVEL;;0;E12;;;
E12.P;Pisos;PISO;;0;E12;;;
E13.L;Losa Fundacion;LOSA;;0;E13;;;
E13.N;Relleno Estructural;NIVEL;;0;E13;;;
E13.P;Pisos;PISO;;0;E13;;;
E14.L;Losa Fundacion;LOSA;;0;E14;;;
E14.N;Relleno Estructural;NIVEL;;0;E14;;;
E14.P;Pisos;PISO;;0;E14;;;
E15.L;Losa Fundacion;LOSA;;0;E15;;;
E15.N;Relleno Estructural;NIVEL;;0;E15;;;
E15.P;Pisos;PISO;;0;E15;;;
E16.L;Losa Fundacion;LOSA;;0;E16;;;
E16.N;Relleno Estructural;NIVEL;;0;E16;;;
E16.P;Pisos;PISO;;0;E16;;;
E17.L;Losa Fundacion;LOSA;;0;E17;;;
E17.N;Relleno Estructural;NIVEL;;0;E17;;;
E17.P;Pisos;PISO;;0;E17;;;
E18.L;Losa Fundacion;LOSA;;0;E18;;;
E18.N;Relleno Estructural;NIVEL;;0;E18;;;
E18.P;Pisos;PISO;;0;E18;;;
E19.L;Losa Fundacion;LOSA;;0;E19;;;
E19.N;Relleno Estructural;NIVEL;;0;E19;;;
E19.P;Pisos;PISO;;0;E19;;;
E20.L;Losa Fundacion;LOSA;;0;E20;;;
E20.N;Relleno Estructural;NIVEL;;0;E20;;;
E20.P;Pisos;PISO;;0;E20;;;
