ITEM;TIPO
A;R
A.1;R
A.1.1;H
A.1.2;H
A.1.4;H
A.2;R
A.2.1;H
A.2.2;H
A.2.3;H
A.3;R
A.3.1;R
A.3.1.1;H
A.3.1.2;H
A.3.1.3;H
A.3.1.4;H
A.3.2;R
A.3.3;R
A.3.3.1;H
A.3.3.2;H
A.3.4;R
A.3.5;R
A.3.5.1;H
A.3.5.2;H
A.3.6;R
A.3.6.1;H
A.3.6.2;H
A.3.6.3;H
A.3.6.4;H
A.3.7;R
A.3.7.1;H
A.3.7.2;H
A.3.7.3;H
A.3.7.5;H
A.3.8;R
A.3.8.1;H
A.3.9;R
A.3.9.1;H
A.3.9.2;H
A.3.9.3;H
A.3.9.4;H
A.3.9.5;H
A.3.10;R
A.3.10.1;H
A.3.11;R
A.3.11.1;H
B;R
B.1;R
B.1.1;H
B.1.2;H
B.1.3;H
B.1.4;H
B.1.6;H
B.1.7;H
B.3;R
B.3.1;R
B.3.1.1;H
B.3.1.2;H
B.3.1.3;H
B.4;R
B.4.1;R
B.4.1.1;H
B.4.1.2;H
B.4.1.3;H
B.5;R
B.5.1;R
B.5.1.1;H
B.5.1.2;H
B.5.1.3;H
B.6;R
B.6.1;R
B.6.3.2;H
B.7;R
B.7.1;H
B.EX;R
B.EX.1;H
B.EX.2;H
C;R
C.1;R
C.1.1;R
C.1.1.1;H
C.1.2;R
C.1.2.1;H
C.1.2.2;H
C.1.3;R
C.1.3.3;H
C.3;R
C.3.1;H
C.4;R
C.4.1;H
C.5;R
C.5.1;H
C.7;R
C.7.1;H
C.9;R
C.9.1;R
C.9.1.1;H
C.9.2;R
C.9.2.1;H
C.9.3;R
C.9.3.2;H
C.9.3.3;H
C.9.4;R
C.9.4.1;H
C.9.4.2;H
C.9.4.3;H
C.9.5;R
C.9.5.1;H
C.9.6;H
C.9.7;R
C.9.7.2;H
C.10;R
C.10.2;H
C.11;R
C.11.1;H
C.11.2;H
C.11.5;H
C.11.6;H
C.11.7;H
C.12;R
C.12.1;R
C.12.1.2;H
C.12.2;R
C.12.2.1;H
C.EX;R
C.EX.1;H
C.EX.2;H
C.EX.3;H
C.EX.4;H
C.EX.5;H
C.EX.6;H
C.EX.7;H
C.EX.8;H
C.EX.9;H
C.EX.10;H
C.EX.11;H
C.EX.12;H
C.EX.13;H
C.EX.14;H
C.EX.15;H
C.EX.16;H
C.EX.17;H
D;R
D.1;R
D.1.1;H
D.1.2;H
D.1.3;H
D.1.4;H
D.1.5;H
D.1.6;H
D.1.7;H
D.1.8;H
D.1.9;H
D.1.10;H
D.2;R
D.2.1;H
D.2.2;H
D.2.3;H
D.2.4;H
D.2.5;H
D.3;R
D.3.1;H
D.3.2;H
D.3.4;H
D.4;R
D.4.1;H
D.4.2;H
D.4.4;H
D.4.5;H
D.4.6;H
D.5;R
D.5.3;H
D.5.4;H
D.5.8;H
D.7;R
D.7.1;H
D.7.2;H
D.EX;R
D.EX.1;H
D.EX.2;H
D.EX.3;H
D.EX.4;H
D.EX.5;H
D.EX.6;H
D.EX.7;H
D.EX.8;H
D.EX.9;H
D.EX.10;H
D.EX.11;H
D.EX.12;H
D.EX.13;H
D.EX.14;H
E;R
E.1;R
E.1.1;H
E.1.3;H
E.1.4;H
E.1.7;H
E.1.9;H
E.1.10;H
E.2;R
E.2.1;R
E.2.1.4;H
E.2.3;R
E.2.3.1;H
E.2.3.2;H
E.3;R
E.3.1;H
E.3.2;H
E.4;R
E.4.1;R
E.4.1.1;H
E.4.1.3;H
E.4.1.4;H
E.4.1.6;H
E.4.1.7;H
E.4.3;H
E.5;R
E.5.1;H
E.5.2;H
E.5.3;H
E.6;R
E.6.1;H
E.EX;R
E.EX.1;H
E.EX.2;H
F;R
F.1;R
F.1.1;H
F.1.4;H
F.4;R
F.4.1;R
F.4.1.2;H
F.4.1.3;H
G;R
G.B;R
G.B.1;R
G.B.1.1;H
G.B.1.2;H
G.B.1.3;H
G.B.1.4;H
G.B.1.6;H
G.B.1.7;H
G.B.3.5;R
G.B.3.5.1;H
G.B.3.5.2;H
G.B.6;R
G.B.6.1;R
G.B.6.1.2;H
G.B.6.2;R
G.B.6.2.1;H
G.B.6.3;R
G.B.6.3.1;H
G.B.6.3.2;H
G.B.EX;R
G.B.EX.1;H
G.C;R
G.C1;R
G.C.1.1;R
G.C.1.1.5;H
G.C.1.2;R
G.C.1.2.2;H
G.C.1.3;R
G.C.1.3.3;H
G.C.3.3;R
G.C.3.3.1;H
G.C.4;R
G.C.4.1;H
G.C.5;R
G.C.5.1;H
G.C.9;R
G.C.9.1;R
G.C.9.1.1;H
G.C.9.2;R
G.C.9.2.1;H
G.C.9.2.4;H
G.C.9.3;R
G.C.9.3.3;H
G.C.9.4;R
G.C.9.4.2;H
G.C.9.4.3;H
G.C.9.5;R
G.C.9.5.1;H
G.C.10;R
G.C.10.1;H
G.C.10.2;H
G.C.11;R
G.C.11.2;H
G.C.12;R
G.C.12.1;R
G.C.12.1.3;H
G.C.EX;R
G.C.EX.1;H
G.C.EX.2;H
G.D;R
G.D.1;R
G.D.1.1;H
G.D.1.2;H
G.D.1.3;H
G.D.1.7;H
G.D.1.9;H
G.D.2;R
G.D.2.1;H
G.D.2.2;H
G.D.3;R
G.D.3.2;H
G.D.4;R
G.D.4.1;H
G.D.4.2;H
G.D.4.5;H
G.D.5;R
G.D.5.2;H
G.D.EX;R
G.D.EX.1;H
H;R
H.1;R
H.1.1;H
H.1.3;H
H.1.5;H
H.1.6;R
H.1.6.1;H
H.1.7;R
H.1.7.1;H
H.1.7.4;H
H.2;R
H.2.1;H
H.2.2;H
H.2.3;H
H.2.4;H
H.3;R
H.3.1;H
H.3.2;H
H.4;R
H.4.1;H
H.4.2;H
H.4.3;H
H.4.4;H
H.5;R
H.5.2;H
H.EX;R
H.EX.1;H
H.EX.2;H
I;R
I.1;H
I.2;H
