ID;EDIFICIO;PISO;DEPTOS;GAS;BASURA;ESCALERA;PORC_APL
E01.P0;E01;0;2;;1;2;0.5
E01.P1;E01;1;4;;0;2;1
E01.P2;E01;2;4;;0;2;1
E01.P3;E01;3;4;;0;2;1
E01.P4;E01;4;4;;0;0;1
E02.P1;E02;1;4;;1;2;1
E02.P2;E02;2;4;;0;2;1
E02.P3;E02;3;4;;0;2;1
E02.P4;E02;4;4;;0;0;1
E03.P1;E03;1;4;;1;2;1
E03.P2;E03;2;4;;0;2;1
E03.P3;E03;3;4;;0;2;1
E03.P4;E03;4;4;;0;0;1
E04.P1;E04;1;4;;1;2;1
E04.P2;E04;2;4;;0;2;1
E04.P3;E04;3;4;;0;2;1
E04.P4;E04;4;4;;0;0;1
E05.P1;E05;1;4;;1;2;1
E05.P2;E05;2;4;;0;2;1
E05.P3;E05;3;4;;0;2;1
E05.P4;E05;4;4;;0;0;1
E06.P1;E06;1;4;;1;2;1
E06.P2;E06;2;4;;0;2;1
E06.P3;E06;3;4;;0;2;1
E06.P4;E06;4;4;;0;0;1
E07.P1;E07;1;4;;1;2;1
E07.P2;E07;2;4;;0;2;1
E07.P3;E07;3;4;;0;2;1
E07.P4;E07;4;4;;0;0;1
E08.P1;E08;1;4;;1;2;1
E08.P2;E08;2;4;;0;2;1
E08.P3;E08;3;4;;0;2;1
E08.P4;E08;4;4;;0;0;1
E09.P1;E09;1;4;;1;2;1
E09.P2;E09;2;4;;0;2;1
E09.P3;E09;3;4;;0;2;1
E09.P4;E09;4;4;;0;0;1
E10.P1;E10;1;4;;1;2;1
E10.P2;E10;2;4;;0;2;1
E10.P3;E10;3;4;;0;2;1
E10.P4;E10;4;4;;0;0;1
E11.P1;E11;1;4;;1;2;1
E11.P2;E11;2;4;;0;2;1
E11.P3;E11;3;4;;0;2;1
E11.P4;E11;4;4;;0;0;1
E12.P1;E12;1;4;;1;2;1
E12.P2;E12;2;4;;0;2;1
E12.P3;E12;3;4;;0;2;1
E12.P4;E12;4;4;;0;0;1
E13.P1;E13;1;4;;1;2;1
E13.P2;E13;2;4;;0;2;1
E13.P3;E13;3;4;;0;2;1
E13.P4;E13;4;4;;0;0;1
E14.P0;E14;0;2;;1;2;0.5
E14.P1;E14;1;4;;0;2;1
E14.P2;E14;2;4;;0;2;1
E14.P3;E14;3;4;;0;2;1
E14.P4;E14;4;4;;0;0;1
E15.P0;E15;0;2;;1;2;0.5
E15.P1;E15;1;4;;0;2;1
E15.P2;E15;2;4;;0;2;1
E15.P3;E15;3;4;;0;2;1
E15.P4;E15;4;4;;0;0;1
E16.P0;E16;0;2;;1;2;0.5
E16.P1;E16;1;4;;0;2;1
E16.P2;E16;2;4;;0;2;1
E16.P3;E16;3;4;;0;2;1
E16.P4;E16;4;4;;0;0;1
E17.P0;E17;0;2;;1;2;0.5
E17.P1;E17;1;4;;0;2;1
E17.P2;E17;2;4;;0;2;1
E17.P3;E17;3;4;;0;2;1
E17.P4;E17;4;4;;0;0;1
E18.P1;E18;1;4;;1;2;1
E18.P2;E18;2;4;;0;2;1
E18.P3;E18;3;4;;0;2;1
E18.P4;E18;4;4;;0;0;1
E19.P1;E19;1;4;;1;2;1
E19.P2;E19;2;4;;0;2;1
E19.P3;E19;3;4;;0;2;1
E19.P4;E19;4;4;;0;0;1
E20.P1;E20;1;4;;1;2;1
E20.P2;E20;2;4;;0;2;1
E20.P3;E20;3;4;;0;2;1
E20.P4;E20;4;4;;0;0;1
